,name,category,address,score,eval_cnt,review_cnt
276,마이카페,카페,(지번) 양재동 14-21,4.3,4건,리뷰 0
277,아지트,"호프,요리주점",(지번) 도곡동 959-27,1.0,1건,리뷰 12
278,양재동황소꼼장어,장어,(지번) 양재동 11-83,0.0,0건,리뷰 1
279,라벨커피로스터스,커피전문점,(지번) 도곡동 959-5,4.3,7건,리뷰 2
280,더맛존숯불바베큐 양재점,치킨,(지번) 양재동 8-4,4.0,2건,리뷰 0
281,존가네 서울양재점,"육류,고기",(지번) 양재동 23,0.0,0건,리뷰 8
282,양지수제샌드위치,샌드위치,(지번) 서초동 1361,3.0,1건,리뷰 7
283,스윗심포니,"제과,베이커리",(지번) 도곡동 959-21,3.3,4건,리뷰 6
284,정향곰탕,곰탕,(지번) 양재동 10-2,3.0,1건,리뷰 1
285,커피온리 양재역점,커피전문점,(지번) 도곡동 957-14,0.0,0건,리뷰 0
286,마더쥬스 양재역점,생과일전문점,(지번) 양재동 23,2.8,4건,리뷰 1
287,파리바게뜨 양재행운점,"제과,베이커리",(지번) 양재동 8-4,3.3,6건,리뷰 0
288,소랑돼지랑,"육류,고기",(지번) 서초동 1358,5.0,1건,리뷰 4
289,화풍초벌갈비 양재점,갈비,(지번) 양재동 11-53,0.0,0건,리뷰 2
290,빈스팩토리,카페,(지번) 서초동 1360-53,3.0,3건,리뷰 3
291,오즈테이블,양식,(지번) 양재동 1-7,0.0,0건,리뷰 13
292,도라지김밥,분식,(지번) 양재동 8-1,0.0,0건,리뷰 1
293,한스커피,커피전문점,(지번) 도곡동 959-16,4.0,2건,리뷰 0
294,가르텐비어 서울양재역점,"호프,요리주점",(지번) 양재동 11-44,3.0,1건,리뷰 2
295,아임바리스타 서초점,카페,(지번) 서초동 1357-65,0.0,0건,리뷰 10
296,오마뎅 양재점,분식,(지번) 도곡동 902-2,3.0,1건,리뷰 0
297,백년손님,감자탕,(지번) 서초동 1357-70,0.0,0건,리뷰 0
298,쌀똑쌀 핫도그,패스트푸드,(지번) 도곡동 950-6,0.0,0건,리뷰 0
299,깡돈,"육류,고기",(지번) 서초동 1357-32,0.0,0건,리뷰 5
300,미스터브리즈커피 양재역점,카페,(지번) 양재동 14-19,2.3,3건,리뷰 0
301,연탄발,한식,(지번) 서초동 1360-13,4.0,1건,리뷰 3
302,낙원떡집,"떡,한과",(지번) 양재동 1-7,0.0,0건,리뷰 0
303,진국 한우설렁탕,설렁탕,(지번) 도곡동 955,0.0,0건,리뷰 0
304,92.5도씨카페,커피전문점,(지번) 서초동 1358-1,3.5,2건,리뷰 1
305,유림,"족발,보쌈",(지번) 양재동 24,1.0,1건,리뷰 2
306,뮌헨호프,"호프,요리주점",(지번) 양재동 12-7,0.0,0건,리뷰 0
307,카페판다 뱅뱅사거리점,커피전문점,(지번) 도곡동 952,2.0,1건,리뷰 1
308,말죽거리,음식점,(지번) 도곡동 952-10,0.0,0건,리뷰 0
309,육회&해물포차,한정식,(지번) 서초동 1364-48,0.0,0건,리뷰 1
