name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS,link,new_category,walking_time
스타마라탕,중화요리,서초동 1576-9,4.6,11,29,37.4901956,127.01395749999999,720.4692879505587,45.1,https://place.map.kakao.com/1684562742,중식,9.0
불이아 교대점,중식,서초동 1671-1,5.0,9,11,37.493456099999996,127.01467,937.1253749124432,44.39,https://place.map.kakao.com/1252347522,중식,11.0
화차이,중화요리,양재동 11-87,5.0,8,9,37.48368370000001,127.0378908,1551.9654506873874,41.98,https://place.map.kakao.com/872121672,중식,19.0
만리성,중화요리,서초동 1544-10,4.1,12,17,37.4891092,127.0096827,1011.3812358586688,41.51,https://place.map.kakao.com/9015754,중식,12.0
아방궁,중식,역삼동 831-32,3.2,15,120,37.4944037,127.03063329999999,1243.6151065370293,36.68,https://place.map.kakao.com/25550206,중식,15.0
자원방래 강남점,중화요리,서초동 1330,4.3,7,50,37.4939235,127.02789950000002,1043.7359112227268,35.01,https://place.map.kakao.com/1865567752,중식,13.0
남기분면 강남점,중화요리,역삼동 819-1,3.9,8,30,37.49924779999999,127.0285588,1579.6143985413462,33.71,https://place.map.kakao.com/855627035,중식,19.0
하이라훠궈,중화요리,역삼동 817-21,4.1,7,70,37.50009779999999,127.028377,1658.3164599502136,33.68,https://place.map.kakao.com/417867273,중식,20.0
희래등,중화요리,서초동 1638-1,3.7,9,24,37.494732299999995,127.01958159999998,920.5712313948034,33.66,https://place.map.kakao.com/27469950,중식,11.0
강남불백 강남1호점,"불고기,두루치기",역삼동 827-23,3.8,32,74,37.4954573,127.0314373,1376.9886970203613,54.0,https://place.map.kakao.com/1331446685,"불고기,제육",17.0
이심전심 언양불고기 본점,"불고기,두루치기",서초동 1658-12,4.1,25,44,37.493060799999995,127.0150145,883.6861245696472,53.81,https://place.map.kakao.com/16472450,"불고기,제육",11.0
딸부자네불백,"불고기,두루치기",역삼동 826-37,3.6,16,28,37.495332299999994,127.03037250000001,1303.3870354971775,40.98,https://place.map.kakao.com/72733906,"불고기,제육",16.0
백년불고기물갈비 서초점,"불고기,두루치기",서초동 1601-2,4.6,5,26,37.4857649,127.0146862,533.6163853941804,30.87,https://place.map.kakao.com/1173434851,"불고기,제육",6.0
3대삼계장인,삼계탕,서초동 1557-17,4.1,38,723,37.4913044,127.01154220000001,966.034991750866,62.15,https://place.map.kakao.com/1967338071,삼계탕,12.0
한방대가삼계탕,삼계탕,역삼동 830-38,3.9,14,26,37.4952916,127.03200490000002,1399.0867314252246,42.16,https://place.map.kakao.com/12519094,삼계탕,17.0
내림손삼계탕 교대본점,삼계탕,서초동 1555-3,3.7,10,9,37.491864,127.0105702,1071.9061028145509,34.65,https://place.map.kakao.com/24712256,삼계탕,13.0
본가한방삼계탕,삼계탕,역삼동 823-5,3.1,13,10,37.4982744,127.03181940000002,1638.1537285028064,32.48,https://place.map.kakao.com/8374641,삼계탕,20.0
