,name,category,star,star_count,review,address,lat,lng
673,포프롬나드 본점,동남아음식,2.8,18건,20,서울 서초구 남부순환로331길 12,37.4830829726744,127.018717651718
674,타미하우스 남부터미널점,샌드위치,0.0,0건,1,서울 서초구 남부순환로333길 13,37.483384328791,127.020008132847
675,이베리코,한정식,5.0,4건,1,서울 서초구 남부순환로339길 23,37.4840794887023,127.022344366967
676,커먼띵스,카페,3.0,2건,4,서울 서초구 남부순환로339길 25 1층,37.4841690682102,127.02224229527
677,팔당반점,중식,0.0,0건,0,서울 서초구 남부순환로 2457,37.4827477317651,127.01912764981
678,돈바바,갈비,5.0,2건,0,서울 서초구 남부순환로331길 10,37.4829454656103,127.018800380198
679,미스터브리즈커피 남부터미널점,커피전문점,3.5,2건,0,서울 서초구 서초중앙로2길 34,37.4838183756596,127.019279656281
680,바다풍경,회,0.0,0건,1,서울 서초구 남부순환로335길 41,37.484308268485,127.02178848976
681,백암순대국,순대,0.0,0건,0,서울 서초구 남부순환로335길 41,37.484308268485,127.02178848976
682,베리언스,카페,0.0,0건,0,서울 서초구 남부순환로337가길 33,37.4839431212365,127.023504377489
683,서초복집,복어,0.0,0건,0,서울 서초구 서초중앙로2길 34,37.4838183756596,127.019279656281
684,울엄마김밥 서초본점,분식,4.0,2건,0,서울 서초구 남부순환로333길 15-4,37.483585763269,127.02019067327
685,마포 돼지갈비생삼겹살,갈비,5.0,1건,1,서울 서초구 남부순환로333길 36,37.4840296280525,127.021062754186
686,국수마을,국수,3.4,5건,0,서울 서초구 남부순환로339길 25,37.4841690682102,127.02224229527
687,궁순대국생삼겹살,한식,3.0,3건,0,서울 서초구 남부순환로333길 35,37.4841718406435,127.020874313491
688,벼리스타,카페,2.0,1건,0,서울 서초구 서초중앙로2길 21 102동 102호,37.4839059857673,127.018515809239
689,전주콩나물해장국밥,국밥,0.0,0건,0,서울 서초구 서초동 1428-4,37.4840261821836,127.020677425865
690,더치앤빈 남부터미널점,커피전문점,0.0,0건,0,서울 서초구 서초중앙로2길 35,37.484096350928,127.019192893295
691,떡의명가하늘채,"떡,한과",5.0,1건,0,서울 서초구 서초중앙로2길 21,37.4839059857673,127.018515809239
692,왕솥뚜껑생삼겹살,한식,0.0,0건,0,서울 서초구 서초동 1428-4,37.4840261821836,127.020677425865
693,시골밥상,"족발,보쌈",3.0,1건,0,서울 서초구 남부순환로333길 27,37.4838959183475,127.020551322109
694,서초맛골집,한식,3.0,1건,0,서울 서초구 남부순환로337가길 33,37.4839431212365,127.023504377489
695,청주본가,한식,0.0,0건,0,서울 서초구 남부순환로337길 35,37.4841114421004,127.020536908738
696,막썰어횟집,회,0.0,0건,0,서울 서초구 남부순환로335길 41,37.484308268485,127.02178848976
697,외가집,한식,3.0,2건,0,서울 서초구 남부순환로331길 6-3,37.4830040947482,127.018966372837
698,카페아미아,카페,0.0,0건,0,서울 서초구 남부순환로337가길 49 송파빌딩 3층,37.4842221155219,127.023744729785
699,숙카페,커피전문점,0.0,0건,0,서울 서초구 남부순환로333길 10,37.483161800288,127.020414200242
700,카페파울리,카페,0.0,0건,0,서울 서초구 남부순환로333길 10,37.483161800288,127.020414200242
701,샌드프레소 JW타워점,샌드위치,0.0,0건,0,서울 서초구 남부순환로 2477 JW타워 1층,37.483193101706,127.021230080623
702,송쉐프 서초점,중화요리,0.0,0건,0,서울 서초구 남부순환로339길 33 1층,37.4844283409248,127.021961289697
703,돈우리,"육류,고기",0.0,0건,0,서울 서초구 남부순환로339길 23 1층,37.4840794887023,127.022344366967
704,마노,카페,0.0,0건,0,서울 서초구 남부순환로 2449 1층,37.4825043283212,127.018247390396
705,칼디하우스 서초점,카페,0.0,0건,0,서울 서초구 서초중앙로2길 35 1층 3호,37.484096350928,127.019192893295
706,해물왕짬뽕,중화요리,0.0,0건,0,서울 서초구 남부순환로335길 37,37.4842132374078,127.021650747994
707,진로분식,분식,4.0,1건,1,서울 서초구 서초중앙로2길 34,37.4838183756596,127.019279656281
