name,category,address,score,eval_cnt,review_cnt
가츠앤비 양재점,"돈까스,우동",서초동 1365-22,4.5,6,5
트래고드,카페,도곡동 952-13,4.7,3,4
에티켓,카페,서초동 1359-46,3.0,2,4
본비반트,"제과,베이커리",서초동 1366-16,0.0,0,0
안녕숯불 양재점,한식,도곡동 957-11,3.6,14,18
다래김밥 서초점,분식,서초동 1349-11,3.0,1,1
더스파게티하우스 서초점,이탈리안,서초동 1359-15,2.0,1,3
전주남문콩나물국밥,국밥,서초동 1366-2,0.0,0,0
도그앤피그 직영7호점,"호프,요리주점",서초동 1357-28,3.0,2,2
비어팩토리 양재역점,"호프,요리주점",양재동 12-4,5.0,2,3
스테프핫도그 양재역점,패스트푸드,서초동 1366-9,2.2,6,7
달려라생포집,"육류,고기",서초동 1366-15,0.0,0,6
이광진부대찌개냉동삼겹살 도곡점,"찌개,전골",도곡동 954-18,0.0,0,8
카멜롯 서초점,카페,서초동 1344-26,3.0,1,4
컵,카페,서초동 1363-25,5.0,1,1
아이엠,카페,도곡동 947-10,3.5,2,4
와인러버,와인바,도곡동 949-2,5.0,3,0
매머드커피 양재점,커피전문점,서초동 1364-47,0.0,0,2
라떼킹 양재점,커피전문점,도곡동 954-11,2.0,4,3
봉구비어 양재역2호점,"호프,요리주점",서초동 1363-2,0.0,0,10
제주돈풍,"육류,고기",서초동 1359-46,4.3,3,3
카페로코,카페,서초동 1349-22,3.5,2,2
